distinct_id,reg_date,first_pay_time,last_month_total_pay,killer_game_num,killer_game_duration,killer_with_friend_num,friend_num,dia_amount,killer_diamond,gift_amount
25731862,2019-07-29 14:46:14,2019-09-02 18:53:05.668,7060,10,61.755,10,41,70639,,64780
78755203,2017-12-02 21:43:51,2018-03-13 00:53:25.933,1689,38,117.660,,3,16855,,2460
75083261,2018-06-25 13:30:26,2018-06-27 02:11:21.98,3150,4,19.477,,50,31455,,13305
116647309,2020-03-29 21:37:31,2020-03-30 14:29:10.383,924,5,17.824,4,9,9231,,14
50470589,2019-12-11 21:15:14,2020-01-28 10:25:48.357,9397,134,1122.714,89,229,93843,1680,75942
39540180,2017-04-25 12:07:00,2017-11-29 23:21:34.122,10656,68,297.986,54,36,61607,,34811
48200048,2017-11-23 00:48:46,2018-08-26 04:11:45.327,7116,50,137.587,1,32,71160,,62574
119512252,2020-12-28 23:47:21,2020-12-28 23:48:48.476,6432,1,9.312,1,17,64318,,57874
20870488,2019-10-30 23:55:01,2019-11-02 11:42:21.361,1074,17,48.241,4,17,10723,,5
43261126,2017-10-08 16:09:00,2017-10-15 10:07:02.12,1588,19,155.919,16,9,15885,820,11881
135230542,2020-09-29 20:10:33,2020-10-22 10:03:32.9,489,24,99.921,1,17,4889,,4715
45176503,2017-03-24 00:25:00,2017-04-11 17:05:06.678,15878,6,17.719,5,72,144130,,103827
38499158,2019-02-25 19:54:32,2019-08-11 22:00:42.191,1647,35,97.449,19,9,16460,,1433
68539292,2017-02-02 20:11:00,2021-01-05 01:10:47.919,8666,1,8.026,,22,86643,,63974
117302409,2020-09-15 19:12:12,2020-12-07 18:17:50.896,13630,2,4.556,,19,136287,,86448
148434004,2020-12-16 19:09:12,2020-12-16 19:11:41.679,1512,17,48.259,14,57,15099,,181
141950734,2020-11-05 07:27:08,2020-12-09 13:57:54.058,10400,224,1613.118,67,13,70045,9877,
83023154,2018-03-03 22:35:05,2020-03-11 16:33:15.848,3892,1,25.031,1,,38920,,3
65919948,2017-02-07 00:54:00,2017-03-22 07:46:50.019,15280,54,151.665,20,14,153583,,134959
25086009,2018-08-14 13:44:43,2018-12-30 01:10:45.897,1754,1,7.925,1,43,17550,,15241
31638784,2019-07-11 22:42:10,2019-07-14 23:41:56.782,9904,64,230.314,61,32,92203,,70138
53659659,2017-07-26 21:23:00,2020-02-08 10:26:19.903,6266,12,46.952,,25,62908,,9416
37521353,,2017-01-17 16:59:55.189,12898,55,193.847,47,34,129300,,11
26676694,2020-01-26 03:19:10,2020-11-23 06:03:28.206,2641,33,105.014,,8,26437,,
147954484,2021-01-10 22:47:18,2021-01-12 22:07:28.931,11020,389,2759.593,168,63,110192,1435,93807
73850700,2017-06-24 17:48:00,2020-08-14 17:36:36.701,492,39,143.560,1,16,4920,,1780
79434066,2019-06-02 11:46:04,2019-06-22 11:15:02.642,2533,89,385.327,86,15,24881,180,9290
43243815,2017-05-21 01:06:00,2018-05-19 19:12:03.155,3559,1,4.459,,62,35590,,297
67886152,2017-08-21 14:09:00,2017-08-23 16:11:31.97,1396,114,775.436,103,3,13952,30,149
143467725,2020-06-02 22:07:49,2020-06-03 08:56:48.72,9004,21,73.909,8,136,87565,,76646
71431091,2018-06-14 10:35:10,2018-06-18 13:29:28.678,13015,1,0.966,,7,127766,,10
69268721,2017-10-25 20:56:00,2018-01-10 23:46:03.748,2341,6,23.956,,122,23402,,1
112916789,2020-12-07 00:10:37,2020-12-09 16:20:20.022,7228,57,357.253,21,40,72257,,65828
117795877,2020-05-13 20:33:11,2020-05-26 19:43:01.772,7897,1,3.110,,85,78151,,52360
49212747,2017-08-21 17:53:00,2018-11-15 11:14:20.088,9740,18,54.099,,9,106511,,101580
95252101,2017-03-26 22:52:00,2017-07-10 14:23:37.875,4610,9,61.856,9,34,45999,,6133
98338731,2018-03-27 21:00:06,2018-11-27 17:26:53.553,7266,55,36.098,55,57,72700,,5042
117166322,2020-05-07 03:46:05,2020-05-21 19:04:42.018,14075,384,1525.332,215,77,141420,,122681
27617269,2019-08-16 08:04:37,2019-08-20 13:30:18.582,1732,9,37.412,,4,17324,,5
62375794,2019-07-23 20:31:48,2019-08-20 17:15:58.199,3080,4,27.516,2,83,30800,,17035
55341592,2018-04-17 02:00:50,2018-04-21 02:18:53.891,8556,16,73.721,16,13,86168,,76899
